locus_id,gene_name
Rv0001,dnaA
Rv0002,dnaN
Rv0003,recF
Rv0004,Rv0004
Rv0005,gyrB
Rv0006,gyrA
Rv0007,Rv0007
Rvnt01,ileT
Rvnt02,alaT
Rv0008c,Rv0008c
Rv0009,ppiA
Rv0010c,Rv0010c
Rv0011c,Rv0011c
Rv0012,Rv0012
Rv0013,trpG
Rv0014c,pknB
Rv0015c,pknA
Rv0016c,pbpA
Rv0017c,rodA
Rv0018c,pstP
Rv0019c,fhaB
Rv0020c,fhaA
Rvnt03,leuT
Rv0021c,Rv0021c
Rv0022c,whiB5
Rv0023,Rv0023
Rv0024,Rv0024
Rv0025,Rv0025
Rv0026,Rv0026
Rv0027,Rv0027
Rv0028,Rv0028
Rv0029,Rv0029
Rv0030,Rv0030
Rv0032,bioF2
Rv0033,acpA
Rv0034,Rv0034
Rv0035,fadD34
Rv0036c,Rv0036c
Rv0037c,Rv0037c
Rv0038,Rv0038
Rv0039c,Rv0039c
Rv0040c,mtc28
Rv0041,leuS
Rv0042c,Rv0042c
Rv0043c,Rv0043c
Rv0044c,Rv0044c
Rv0045c,Rv0045c
Rv0046c,ino1
Rv0047c,Rv0047c
Rv0048c,Rv0048c
Rv0049,Rv0049
Rv0050,ponA1
Rv0051,Rv0051
Rv0052,Rv0052
Rv0053,rpsF
Rv0054,ssb
Rv0055,rpsR1
Rv0056,rplI
Rv0057,Rv0057
Rv0058,dnaB
Rv0059,Rv0059
Rv0060,Rv0060
Rv0061c,Rv0061c
Rv0062,celA1
Rv0063,Rv0063
Rv0063a,Rv0063a
Rv0064,Rv0064
Rv0064A,vapB1
Rv0065,vapC1
Rv0066c,icd2
Rv0067c,Rv0067c
Rv0068,Rv0068
Rv0069c,sdaA
Rv0070c,glyA2
Rv0071,Rv0071
Rv0072,Rv0072
Rv0073,Rv0073
Rv0074,Rv0074
Rv0075,Rv0075
Rv0076c,Rv0076c
Rv0077c,Rv0077c
Rv0078,Rv0078
Rv0078A,Rv0078A
Rv0078B,Rv0078B
Rv0079,Rv0079
Rv0080,Rv0080
Rv0081,Rv0081
Rv0082,Rv0082
Rv0083,Rv0083
Rv0084,hycD
Rv0085,hycP
Rv0086,hycQ
Rv0087,hycE
Rv0088,Rv0088
Rv0089,Rv0089
Rv0090,Rv0090
Rv0091,mtn
Rv0092,ctpA
Rv0093c,Rv0093c
Rv0094c,Rv0094c
Rv0095c,Rv0095c
Rv0096,PPE1
Rv0097,Rv0097
Rv0098,fcoT
Rv0099,fadD10
Rv0100,Rv0100
Rv0101,nrp
Rv0102,Rv0102
Rv0103c,ctpB
Rv0104,Rv0104
Rv0105c,rpmB1
Rv0106,Rv0106
Rv0107c,ctpI
Rv0108c,Rv0108c
Rv0109,PE_PGRS1
Rv0110,Rv0110
Rv0111,Rv0111
Rv0112,gca
Rv0113,gmhA
Rv0114,gmhB
Rv0115,hddA
Rv0115a,Rv0115a
Rv0116c,ldtA
Rv0117,oxyS
Rv0118c,oxcA
Rv0119,fadD7
Rv0120c,fusA2
Rv0121c,Rv0121c
Rv0122,Rv0122
Rv0123,Rv0123
Rv0124,PE_PGRS2
Rv0125,pepA
Rv0126,treS
Rv0127,mak
Rv0128,Rv0128
Rv0129c,fbpC
Rv0130,htdZ
Rv0131c,fadE1
Rv0132c,fgd2
Rv0133,Rv0133
Rv0134,ephF
Rv0135c,Rv0135c
Rv0136,cyp138
Rv0137c,msrA
Rv0138,Rv0138
Rv0139,Rv0139
Rv0140,Rv0140
Rv0141c,Rv0141c
Rv0142,Rv0142
Rv0143c,Rv0143c
Rv0144,Rv0144
Rv0145,Rv0145
Rv0146,Rv0146
Rv0147,Rv0147
Rv0148,Rv0148
Rv0149,Rv0149
Rv0150c,Rv0150c
Rv0151c,PE1
Rv0152c,PE2
Rv0153c,ptbB
Rv0154c,fadE2
Rv0155,pntAa
Rv0156,pntAb
Rv0157,pntB
Rv0157A,Rv0157A
Rv0158,Rv0158
Rv0159c,PE3
Rv0160c,PE4
Rv0161,Rv0161
Rv0162c,adhE1
Rv0163,Rv0163
Rv0164,TB18.5
Rv0165c,mce1R
Rv0166,fadD5
Rv0167,yrbE1A
Rv0168,yrbE1B
Rv0169,mce1A
Rv0170,mce1B
Rv0171,mce1C
Rv0172,mce1D
Rv0173,lprK
Rv0174,mce1F
Rv0175,Rv0175
Rv0176,Rv0176
Rv0177,Rv0177
Rv0178,Rv0178
Rv0179c,lprO
Rv0180c,Rv0180c
Rv0181c,Rv0181c
Rv0182c,sigG
Rv0183,Rv0183
Rv0184,Rv0184
Rv0185,Rv0185
Rv0186,bglS
Rv0186A,mymT
Rv0187,Rv0187
Rv0188,Rv0188
Rv0189c,ilvD
Rv0190,Rv0190
Rv0191,Rv0191
Rv0192,Rv0192
Rv0193c,Rv0193c
Rv0194,Rv0194
Rv0195,Rv0195
Rv0196,Rv0196
Rv0197,Rv0197
Rv0198c,zmp1
Rv0199,Rv0199
Rv0200,Rv0200
Rv0201c,Rv0201c
Rv0202c,mmpL11
Rv0203,Rv0203
Rv0204c,Rv0204c
Rv0205,Rv0205
Rv0206c,mmpL3
Rv0207c,Rv0207c
Rv0208c,Rv0208c
Rv0209,Rv0209
Rv0210,Rv0210
Rv0211,pckA
Rv0212c,nadR
Rv0213c,Rv0213c
Rv0214,fadD4
Rv0215c,Rv0215c
Rv0216,Rv0216
Rv0217c,lipW
Rv0218,Rv0218
Rv0219,Rv0219
Rv0220,lipC
Rv0221,Rv0221
Rv0222,echA1
Rv0223c,Rv0223c
Rv0224c,Rv0224c
Rv0225,Rv0225
Rv0226c,Rv0226c
Rv0227c,Rv0227c
Rv0228,Rv0228
Rv0229c,Rv0229c
Rv0230c,php
Rv0231,fadE4
Rv0232,Rv0232
Rv0233,nrdB
Rv0234c,gabD1
Rv0235c,Rv0235c
Rv0236c,aftD
Rv0236A,Rv0236A
Rv0237,lpqI
Rv0238,Rv0238
Rv0239,vapB24
Rv0240,vapC24
Rv0241c,htdX
Rv0242c,fabG4
Rv0243,fadA2
RVnc0008,F6
Rv0244c,fadE5
Rv0245,Rv0245
Rv0246,Rv0246
Rv0247c,Rv0247c
Rv0248c,Rv0248c
Rv0249c,Rv0249c
Rv0250c,Rv0250c
Rv0251c,hsp
Rv0252,nirB
Rv0253,nirD
Rv0254c,cobU
Rv0255c,cobQ1
Rv0256c,PPE2
Rv0257,Rv0257
Rv0258c,Rv0258c
Rv0259c,Rv0259c
Rv0260c,Rv0260c
Rv0261c,narK3
Rv0262c,aac
Rv0263c,Rv0263c
Rv0264c,Rv0264c
Rv0265c,Rv0265c
Rv0266c,oplA
Rv0267,narU
Rv0268c,Rv0268c
Rv0269c,Rv0269c
Rv0270,fadD2
Rv0271c,fadE6
Rv0272c,Rv0272c
Rv0273c,Rv0273c
Rv0274,Rv0274
Rv0275c,Rv0275c
Rv0276,Rv0276
Rv0277c,vapC25
Rv0277A,vapB25
Rv0278c,Rv0278c
Rv0279c,PE_PGRS4
Rv0280,PPE3
Rv0281,Rv0281
Rv0282,eccA3
Rv0283,eccB3
Rv0284,eccC3
Rv0285,PE5
Rv0286,PPE4
Rv0287,esxG
Rv0288,esxH
Rv0289,espG3
Rv0290,eccD3
Rv0291,mycP3
Rv0292,eccE3
Rv0293c,Rv0293c
Rv0294,tam
Rv0295c,Rv0295c
Rv0296c,Rv0296c
Rv0297,PE_PGRS5
Rv0298,Rv0298
Rv0299,Rv0299
Rv0300,vapB2
Rv0301,vapC2
Rv0302,Rv0302
Rv0303,Rv0303
Rv0304c,PPE5
Rv0305c,PPE6
Rv0306,Rv0306
Rv0307c,Rv0307c
Rv0308,Rv0308
Rv0309,Rv0309
Rv0310c,Rv0310c
Rv0311,Rv0311
Rv0312,Rv0312
Rv0313,Rv0313
Rv0314c,Rv0314c
Rv0315,Rv0315
Rv0316,Rv0316
Rv0317c,glpQ2
Rvnt04,glyU
Rv0318c,Rv0318c
Rv0319,pcp
Rv0320,Rv0320
Rv0321,dcd
Rv0322,udgA
Rv0323c,Rv0323c
Rv0324,Rv0324
Rv0325,Rv0325
Rv0326,Rv0326
Rv0327c,cyp135A1
Rv0328,Rv0328
Rv0329c,Rv0329c
Rv0330c,Rv0330c
Rv0331,Rv0331
Rv0332,Rv0332
Rv0333,Rv0333
Rv0334,rmlA
Rv0335c,PE6
Rv0336,Rv0336
Rv0337c,aspC
Rv0338c,Rv0338c
Rv0339c,Rv0339c
Rv0340,Rv0340
Rv0341,iniB
Rv0342,iniA
Rv0343,iniC
Rv0344c,lpqJ
Rv0345,Rv0345
Rv0346c,ansP2
Rv0347,Rv0347
Rv0348,Rv0348
Rv0349,Rv0349
Rv0350,dnaK
Rv0351,grpE
Rv0352,dnaJ1
Rv0353,hspR
Rv0354c,PPE7
Rv0355c,PPE8
Rv0356c,Rv0356c
Rv0357c,purA
Rv0358,Rv0358
Rv0359,Rv0359
Rv0360c,Rv0360c
Rv0361,Rv0361
Rv0362,mgtE
Rv0363c,fba
Rv0364,Rv0364
Rv0365c,Rv0365c
Rv0366c,Rv0366c
Rv0367c,Rv0367c
Rv0368c,Rv0368c
Rv0369c,Rv0369c
Rv0370c,Rv0370c
Rv0371c,Rv0371c
Rv0372c,Rv0372c
Rv0373c,Rv0373c
Rv0374c,Rv0374c
Rv0375c,Rv0375c
Rv0376c,Rv0376c
Rv0377,Rv0377
Rv0378,Rv0378
Rv0379,secE2
Rv0380c,Rv0380c
Rv0381c,Rv0381c
Rv0382c,pyrE
Rv0383c,Rv0383c
Rv0384c,clpB
Rv0385,Rv0385
Rv0386,Rv0386
Rv0387c,Rv0387c
Rv0389,purT
Rv0390,Rv0390
Rv0391,metZ
Rv0392c,ndhA
Rv0393,Rv0393
Rv0394c,Rv0394c
Rv0395,Rv0395
Rv0396,Rv0396
Rv0397,Rv0397
Rv0397A,Rv0397A
Rv0398c,Rv0398c
Rv0399c,lpqK
Rv0400c,fadE7
Rv0401,Rv0401
Rv0402c,mmpL1
Rv0403c,mmpS1
Rv0404,fadD30
Rv0405,pks6
Rv0406c,Rv0406c
Rv0407,fgd1
Rv0408,pta
Rv0409,ackA
Rv0410c,pknG
Rv0411c,glnH
Rv0412c,Rv0412c
Rv0413,mutT3
Rv0414c,thiE
Rv0415,thiO
Rv0416,thiS
Rv0417,thiG
Rv0418,lpqL
Rv0419,lpqM
Rv0420c,Rv0420c
Rv0421c,Rv0421c
Rv0422c,thiD
Rv0423c,thiC
Rv0424c,Rv0424c
Rv0425c,ctpH
Rv0426c,Rv0426c
Rv0427c,xthA
Rv0428c,Rv0428c
Rv0429c,def
Rv0430,Rv0430
Rv0431,Rv0431
Rv0432,sodC
Rv0433,Rv0433
Rv0434,Rv0434
Rv0435c,Rv0435c
Rv0436c,pssA
Rv0437c,psd
Rv0438c,moeA2
Rv0439c,Rv0439c
Rv0440,groEL2
Rv0441c,Rv0441c
Rv0442c,PPE10
Rv0443,Rv0443
Rv0444c,rskA
Rv0445c,sigK
Rv0446c,Rv0446c
Rv0447c,ufaA1
Rv0448c,Rv0448c
Rv0449c,Rv0449c
Rv0450c,mmpL4
Rv0451c,mmpS4
Rv0452,Rv0452
Rv0453,PPE11
Rv0455c,Rv0455c
Rv0456c,echA2
Rv0456A,mazF1
Rv0456B,mazE1
Rv0457c,Rv0457c
Rv0458,Rv0458
Rv0459,Rv0459
Rv0460,Rv0460
Rv0461,Rv0461
Rv0462,lpdC
Rv0463,Rv0463
Rv0464c,Rv0464c
Rv0465c,Rv0465c
Rv0466,Rv0466
Rv0467,icl1
Rv0468,fadB2
Rv0469,umaA
Rv0470c,pcaA
Rv0470A,Rv0470A
Rv0471c,Rv0471c
Rv0472c,Rv0472c
Rv0473,Rv0473
Rv0474,Rv0474
Rv0475,hbhA
Rv0476,Rv0476
Rv0477,Rv0477
Rv0478,deoC
Rv0479c,Rv0479c
Rv0480c,Rv0480c
Rv0481c,Rv0481c
Rv0482,murB
Rv0483,lprQ
Rv0484c,Rv0484c
Rv0485,Rv0485
Rv0486,mshA
Rv0487,Rv0487
Rv0488,Rv0488
Rv0489,gpm1
Rv0490,senX3
Rv0491,regX3
Rv0492c,Rv0492c
Rv0492A,Rv0492A
Rv0493c,Rv0493c
Rv0494,Rv0494
Rv0495c,Rv0495c
Rv0496,Rv0496
Rv0497,Rv0497
Rv0498,Rv0498
Rv0499,Rv0499
Rv0500,proC
Rv0500A,Rv0500A
Rv0501,galE2
Rv0502,Rv0502
Rv0503c,cmaA2
Rv0504c,Rv0504c
Rv0505c,serB1
Rv0506,mmpS2
Rv0507,mmpL2
Rv0508,Rv0508
Rv0509,hemA
Rv0510,hemC
Rv0511,hemD
Rv0512,hemB
Rv0513,Rv0513
Rv0514,Rv0514
Rv0515,Rv0515
Rv0516c,Rv0516c
Rv0517,Rv0517
Rv0518,Rv0518
Rv0519c,Rv0519c
Rv0522,gabP
Rv0523c,Rv0523c
Rv0524,hemL
Rv0525,Rv0525
Rv0526,Rv0526
Rv0527,ccdA
Rv0528,Rv0528
Rv0529,ccsA
Rv0530,Rv0530
Rv0530A,Rv0530A
Rv0531,Rv0531
Rv0532,PE_PGRS6
Rv0533c,fabH
Rv0534c,menA
Rv0535,Rv0535
Rv0536,galE3
Rv0537c,Rv0537c
Rv0538,Rv0538
Rv0539,Rv0539
Rv0540,Rv0540
Rv0541c,Rv0541c
Rv0542c,menE
Rv0543c,Rv0543c
Rv0544c,Rv0544c
Rv0545c,pitA
Rv0546c,Rv0546c
Rv0547c,Rv0547c
Rv0548c,menB
Rv0549c,vapC3
Rv0550c,vapB3
Rv0551c,fadD8
Rv0552,Rv0552
Rv0553,menC
Rv0554,bpoC
Rv0555,menD
Rv0556,Rv0556
Rv0557,mgtA
Rv0558,menH
Rv0559c,Rv0559c
Rv0560c,Rv0560c
Rv0561c,Rv0561c
Rv0562,grcC1
Rv0563,htpX
Rv0564c,gpdA1
Rv0565c,Rv0565c
Rv0566c,Rv0566c
Rvnt05,tyrT
Rv0567,Rv0567
Rv0568,cyp135B1
Rv0569,Rv0569
Rv0570,nrdZ
Rv0571c,Rv0571c
Rv0572c,Rv0572c
Rv0573c,pncB2
Rv0574c,Rv0574c
Rv0575c,Rv0575c
Rv0576,Rv0576
Rv0577,TB27.3
Rv0578c,PE_PGRS7
Rv0579,Rv0579
Rv0580c,Rv0580c
Rv0581,vapB26
Rv0582,vapC26
Rv0583c,lpqN
Rv0584,Rv0584
Rv0585c,Rv0585c
Rv0586,mce2R
Rv0587,yrbE2A
Rv0588,Rv0588
Rv0589,mce2A
Rv0591,mce2C
Rv0592,mce2D
Rv0593,lprL
Rv0594,mce2F
Rv0595c,vapC4
Rv0596c,vapB4
Rv0597c,Rv0597c
Rv0598c,vapC27
Rv0599c,vapB27
Rv0600c,Rv0600c
Rv0601c,Rv0601c
Rv0602c,tcrA
Rv0603,Rv0603
Rv0604,lpqO
Rv0605,Rv0605
Rv0607,Rv0607
Rv0608,vapB28
Rv0609,vapC28
Rv0609A,Rv0609A
RVnc0005,B55
Rv0610c,Rv0610c
Rv0611c,Rv0611c
Rv0612,Rv0612
Rv0613c,Rv0613c
Rv0614,Rv0614
Rv0615,Rv0615
Rv0616A,vapB29
Rv0617,vapC29
Rv0618,galT
Rv0620,galK
Rv0621,Rv0621
Rv0622,Rv0622
Rv0623,vapB30
Rv0624,vapC30
Rv0625c,Rv0625c
Rv0626,vapB5
Rv0627,vapC5
Rv0628c,Rv0628c
Rv0629c,recD
Rv0630c,recB
Rv0631c,recC
Rv0632c,echA3
Rv0633c,Rv0633c
Rv0634c,Rv0634c
Rv0634A,Rv0634A
Rvnt06,thrT
Rvnt07,metT
Rv0634B,rpmG2
Rv0635,hadA
Rv0636,hadB
Rv0637,hadC
Rvnt08,trpT
Rv0638,secE1
Rv0639,nusG
Rv0640,rplK
Rv0641,rplA
Rv0642c,mmaA4
Rv0643c,mmaA3
Rv0644c,mmaA2
Rv0645c,mmaA1
Rv0646c,lipG
Rv0647c,Rv0647c
Rv0648,Rv0648
Rv0649,fabD2
Rv0650,Rv0650
Rv0651,rplJ
Rv0652,rplL
Rv0653c,Rv0653c
Rv0654,Rv0654
Rv0655,mkl
Rv0656c,vapC6
Rv0657c,vapB6
Rv0658c,Rv0658c
Rv0659c,mazF2
Rv0660c,mazE2
Rv0661c,vapC7
Rv0662c,vapB7
Rv0663,atsD
Rv0664,vapB8
Rv0665,vapC8
Rv0666,Rv0666
Rv0667,rpoB
Rv0668,rpoC
Rv0669c,Rv0669c
Rv0670,end
Rv0671,lpqP
Rv0672,fadE8
Rv0673,echA4
Rv0674,Rv0674
Rv0675,echA5
Rv0676c,mmpL5
Rv0677c,mmpS5
Rv0678,Rv0678
Rv0679c,Rv0679c
Rv0680c,Rv0680c
Rv0681,Rv0681
Rv0682,rpsL
Rv0683,rpsG
Rv0684,fusA1
Rv0685,tuf
Rv0686,Rv0686
Rv0687,Rv0687
Rv0688,Rv0688
Rv0689c,Rv0689c
Rv0690c,Rv0690c
Rv0691c,Rv0691c
Rv0691A,Rv0691A
Rv0692,Rv0692
Rv0693,Rv0693
Rv0694,Rv0694
Rv0695,Rv0695
Rv0696,Rv0696
Rv0697,Rv0697
Rv0698,Rv0698
Rv0699,Rv0699
Rv0700,rpsJ
Rv0701,rplC
Rv0702,rplD
Rv0703,rplW
Rv0704,rplB
Rv0705,rpsS
Rv0706,rplV
Rv0707,rpsC
Rv0708,rplP
Rv0709,rpmC
Rv0710,rpsQ
Rv0711,atsA
Rv0712,Rv0712
Rv0713,Rv0713
Rv0714,rplN
Rv0715,rplX
Rv0716,rplE
Rv0717,rpsN1
Rv0718,rpsH
Rv0719,rplF
Rv0720,rplR
Rv0721,rpsE
Rv0722,rpmD
Rv0723,rplO
Rv0724,sppA
Rv0725c,Rv0725c
Rv0726c,Rv0726c
Rv0727c,fucA
Rv0728c,serA2
Rv0729,xylB
Rv0730,Rv0730
Rv0731c,Rv0731c
Rv0732,secY
Rv0733,adk
Rv0734,mapA
Rv0735,sigL
Rv0736,rslA
Rv0737,Rv0737
Rv0738,Rv0738
Rv0739,Rv0739
Rv0740,Rv0740
Rv0742,Rv0742
Rv0743c,Rv0743c
Rv0744c,Rv0744c
Rv0745,Rv0745
Rv0746,PE_PGRS9
Rv0747,PE_PGRS10
Rv0748,vapB31
Rv0749,vapC31
Rv0749A,Rv0749A
Rv0750,Rv0750
Rv0751c,mmsB
Rv0752c,fadE9
Rv0753c,mmsA
Rv0754,PE_PGRS11
Rv0755c,PPE12
Rvnt09,thrV
Rv0756c,Rv0756c
Rv0757,phoP
Rv0758,phoR
Rv0759c,Rv0759c
Rv0760c,Rv0760c
Rv0761c,adhB
Rv0762c,Rv0762c
Rv0763c,Rv0763c
Rv0764c,cyp51
Rv0765c,Rv0765c
Rv0766c,cyp123
Rv0767c,Rv0767c
Rv0768,aldA
Rv0769,Rv0769
Rv0770,Rv0770
Rv0771,Rv0771
Rv0772,purD
Rv0773c,ggtA
Rv0774c,Rv0774c
Rv0775,Rv0775
Rv0776c,Rv0776c
Rv0777,purB
Rv0778,cyp126
Rv0779c,Rv0779c
Rv0780,purC
Rv0783c,emrB
Rv0784,Rv0784
Rv0785,Rv0785
Rv0786c,Rv0786c
Rv0787,Rv0787
Rv0787A,Rv0787A
Rv0788,purQ
Rv0789c,Rv0789c
Rv0790c,Rv0790c
Rv0791c,Rv0791c
Rv0792c,Rv0792c
Rv0793,Rv0793
Rv0794c,Rv0794c
Rv0797,Rv0797
Rv0798c,cfp29
Rv0799c,Rv0799c
Rv0800,pepC
Rv0801,Rv0801
Rv0802c,Rv0802c
Rv0803,purL
Rv0804,Rv0804
Rv0805,Rv0805
Rv0806c,cpsY
Rv0807,Rv0807
Rv0808,purF
Rv0809,purM
Rv0810c,Rv0810c
Rv0811c,Rv0811c
Rv0812,Rv0812
Rv0813c,Rv0813c
Rv0814c,Rv0814c
Rv0815c,cysA2
Rv0816c,thiX
Rv0817c,Rv0817c
Rv0818,Rv0818
Rv0819,mshD
Rv0820,phoT
Rv0821c,phoY2
Rv0822c,Rv0822c
Rv0823c,Rv0823c
Rv0824c,desA1
RVnc0002,ASdes
Rv0825c,Rv0825c
Rv0826,Rv0826
Rv0827c,kmtR
Rv0828c,Rv0828c
Rv0830,Rv0830
Rv0831c,Rv0831c
Rvnt10,lysT
Rvnt11,gluT
Rvnt12,aspT
Rvnt13,pheU
Rv0832,PE_PGRS12
Rv0833,PE_PGRS13
Rv0834c,PE_PGRS14
Rv0835,lpqQ
Rv0836c,Rv0836c
Rv0837c,Rv0837c
Rv0838,lpqR
Rv0839,Rv0839
Rv0840c,pip
Rv0841,Rv0841
Rv0842,Rv0842
Rv0843,Rv0843
Rv0844c,narL
Rv0845,Rv0845
Rv0846c,Rv0846c
Rv0847,lpqS
Rv0848,cysK2
Rv0849,Rv0849
Rv0851c,Rv0851c
Rv0852,Rv0852
Rv0853c,pdc
Rv0854,Rv0854
Rv0855,far
Rv0856,Rv0856
Rv0857,Rv0857
Rv0858c,dapC
Rv0859,Rv0859
Rv0860,fadB
Rv0861c,ercc3
Rv0862c,Rv0862c
Rv0863,Rv0863
Rv0864,moaC2
Rv0865,mog
Rv0866,moaE2
Rv0867c,rpfA
Rv0868c,moaD2
Rv0869c,moaA2
Rv0870c,Rv0870c
Rv0871,cspB
Rv0872c,PE_PGRS15
Rv0873,fadE10
Rv0874c,Rv0874c
Rv0875c,Rv0875c
Rv0876c,Rv0876c
Rv0877,Rv0877
Rv0878c,PPE13
Rv0879c,Rv0879c
Rv0880,Rv0880
Rv0881,Rv0881
Rv0882,Rv0882
Rv0883c,Rv0883c
Rv0884c,serC
Rv0885,Rv0885
Rv0886,fprB
Rv0887c,Rv0887c
Rv0888,Rv0888
Rv0889c,citA
Rv0890c,Rv0890c
Rv0891c,Rv0891c
Rv0892,Rv0892
Rv0893c,Rv0893c
Rv0894,Rv0894
Rv0895,Rv0895
Rv0896,gltA2
Rv0897c,Rv0897c
Rv0898c,Rv0898c
Rv0899,arfA
Rv0900,arfB
Rv0901,arfC
Rv0902c,prrB
Rv0903c,prrA
Rv0904c,accD3
Rv0905,echA6
Rv0906,Rv0906
Rv0907,Rv0907
Rv0908,ctpE
Rv0909,Rv0909
Rv0910,Rv0910
Rv0911,Rv0911
Rv0912,Rv0912
Rv0913c,Rv0913c
Rv0914c,Rv0914c
Rv0915c,PPE14
Rv0916c,PE7
Rv0917,betP
Rv0918,Rv0918
Rv0919,Rv0919
Rvnt14,argT
Rv0920c,Rv0920c
Rv0921,Rv0921
Rv0922,Rv0922
Rv0923c,Rv0923c
Rv0924c,mntH
Rv0925c,Rv0925c
Rv0926c,Rv0926c
Rv0927c,Rv0927c
Rv0928,pstS3
Rv0929,pstC2
Rv0930,pstA1
Rv0931c,pknD
Rv0932c,pstS2
Rv0933,pstB
Rv0934,pstS1
Rv0935,pstC1
Rv0936,pstA2
Rv0937c,mku
Rv0938,ligD
Rv0939,Rv0939
Rv0940c,Rv0940c
Rv0941c,Rv0941c
Rv0942,Rv0942
Rv0943c,Rv0943c
Rv0944,Rv0944
Rv0945,Rv0945
Rv0946c,pgi
Rv0947c,Rv0947c
Rv0948c,Rv0948c
Rv0949,uvrD1
Rv0950c,Rv0950c
Rv0951,sucC
Rv0952,sucD
Rv0953c,Rv0953c
Rv0954,Rv0954
Rv0955,Rv0955
Rv0956,purN
Rv0957,purH
Rv0958,Rv0958
Rv0959,Rv0959
Rv0959A,vapB9
Rv0960,vapC9
Rv0961,Rv0961
Rv0962c,lprP
Rv0963c,Rv0963c
Rv0964c,Rv0964c
Rv0965c,Rv0965c
Rv0966c,Rv0966c
Rv0967,csoR
Rv0968,Rv0968
Rv0969,ctpV
Rv0970,Rv0970
Rv0971c,echA7
Rv0972c,fadE12
Rv0973c,accA2
Rv0974c,accD2
Rv0975c,fadE13
Rv0976c,Rv0976c
Rv0977,PE_PGRS16
Rv0978c,PE_PGRS17
Rv0979c,Rv0979c
Rv0979A,rpmF
