locus_id,gene_name
Rv0980c,PE_PGRS18
Rv0981,mprA
Rv0982,mprB
Rv0983,pepD
Rv0984,moaB2
Rv0985c,mscL
Rv0986,Rv0986
Rv0987,Rv0987
Rv0988,Rv0988
Rv0989c,grcC2
Rv0990c,Rv0990c
Rv0991c,Rv0991c
Rv0992c,Rv0992c
Rv0993,galU
Rv0994,moeA1
Rv0995,rimJ
Rv0996,Rv0996
Rvnt15,alaV
Rv0997a,Rv0997a
Rv0997,Rv0997
Rv0998,Rv0998
Rv0999,Rv0999
Rv1000c,Rv1000c
Rv1001,arcA
Rv1002c,Rv1002c
Rv1003,Rv1003
Rv1004c,Rv1004c
Rv1005c,Rv1005c
Rv1006,Rv1006
Rv1007c,metS
Rv1008,tatD
Rv1009,rpfB
Rv1010,ksgA
Rv1011,ispE
Rv1012,Rv1012
Rv1013,pks16
Rv1014c,pth
Rv1015c,rplY
Rv1016c,lpqT
Rv1017c,prsA
Rv1018c,glmU
Rvnt16,glnT
Rv1019,Rv1019
Rv1020,mfd
Rv1021,Rv1021
Rv1022,lpqU
Rv1023,eno
Rv1024,Rv1024
Rv1025,Rv1025
Rv1026,Rv1026
Rv1027c,kdpE
Rv1028c,kdpD
Rv1028A,kdpF
Rv1029,kdpA
Rv1030,kdpB
Rv1031,kdpC
Rv1032c,trcS
Rv1033c,trcR
Rv1037c,esxI
Rv1038c,esxJ
Rv1039c,PPE15
Rv1040c,PE8
Rv1041c,Rv1041c
Rv1042c,Rv1042c
Rv1043c,Rv1043c
Rv1044,Rv1044
Rv1045,Rv1045
Rv1047,Rv1047
Rv1048c,Rv1048c
Rv1049,Rv1049
Rv1050,Rv1050
Rv1051c,Rv1051c
Rv1052,Rv1052
Rvnt17,leuX
Rv1056,Rv1056
Rv1057,Rv1057
Rv1058,fadD14
Rv1059,Rv1059
Rv1060,Rv1060
Rv1061,Rv1061
Rv1062,Rv1062
Rv1063c,Rv1063c
Rv1064c,lpqV
Rv1065,Rv1065
Rv1066,Rv1066
Rv1067c,PE_PGRS19
Rv1068c,PE_PGRS20
Rv1069c,Rv1069c
Rv1070c,echA8
Rv1071c,echA9
Rv1072,Rv1072
Rv1073,Rv1073
Rv1074c,fadA3
Rv1075c,Rv1075c
Rv1076,lipU
Rv1077,cbs
Rv1078,Rv1078
Rv1079,metB
Rv1080c,greA
Rv1081c,Rv1081c
Rv1082,mca
Rv1083,Rv1083
Rv1084,Rv1084
Rv1085c,Rv1085c
Rv1086,Rv1086
Rv1087,PE_PGRS21
Rv1088,PE9
Rv1088a,Rv1088a
Rv1091,PE_PGRS22
Rv1092c,coaA
RVnc0034,MTS0858
Rv1093,glyA1
Rv1094,desA2
Rv1095,phoH2
Rv1096,Rv1096
Rv1097c,Rv1097c
Rv1098c,fum
Rv1099c,glpX
Rv1100,Rv1100
Rv1101c,Rv1101c
Rv1102c,mazF3
Rv1103c,mazE3
Rv1106c,Rv1106c
Rv1107c,xseB
Rv1108c,xseA
Rv1109c,Rv1109c
Rv1110,lytB2
Rv1111c,Rv1111c
Rv1112,Rv1112
Rv1113,vapB32
Rv1114,vapC32
Rv1115,Rv1115
Rv1116,Rv1116
Rv1117,Rv1117
Rv1118c,Rv1118c
Rv1119c,Rv1119c
Rv1120c,Rv1120c
Rv1121,zwf1
Rv1122,gnd2
Rv1123c,bpoB
Rv1124,ephC
Rv1125,Rv1125
Rv1126c,Rv1126c
Rv1127c,ppdK
Rv1128c,Rv1128c
Rv1129c,Rv1129c
Rv1130,prpD
Rv1131,prpC
Rv1132,Rv1132
Rv1133c,metE
Rv1134,Rv1134
Rv1135c,PPE16
Rv1138a,Rv1138a
Rv1138c,Rv1138c
Rv1139c,Rv1139c
Rv1140,Rv1140
Rv1141c,echA11
Rv1142c,echA10
Rv1143,mcr
Rv1144,Rv1144
Rv1145,Rv1145
Rv1146,Rv1146
Rv1147,Rv1147
Rv1148c,Rv1148c
Rv1149,Rv1149
Rv1150,Rv1150
Rv1151c,Rv1151c
Rv1152,Rv1152
Rv1153c,omt
Rv1154c,Rv1154c
Rv1155,Rv1155
Rv1155a,Rv1155a
Rv1156,Rv1156
Rv1157c,Rv1157c
RVnc0012,mcr10
Rv1158c,Rv1158c
Rv1159,pimE
Rv1159A,Rv1159A
Rv1160,mutT2
Rv1161,narG
Rv1162,narH
Rv1163,narJ
Rv1164,narI
Rv1165,typA
Rv1166,lpqW
Rv1167c,Rv1167c
Rv1168c,PPE17
Rv1169c,lipX
Rv1170,mshB
Rv1171,Rv1171
Rv1172c,PE12
Rv1173,fbiC
Rv1174c,TB8.4
Rv1175c,fadH
Rv1176c,Rv1176c
Rv1177,fdxC
Rv1178,Rv1178
Rv1179c,Rv1179c
Rv1180,pks3
Rv1181,pks4
Rv1182,papA3
Rv1183,mmpL10
Rv1184c,Rv1184c
Rv1185c,fadD21
Rv1186c,Rv1186c
Rv1187,rocA
Rv1188,Rv1188
Rv1189,sigI
Rv1190,Rv1190
Rv1191,Rv1191
Rv1192,Rv1192
Rv1193,fadD36
Rv1194c,Rv1194c
Rv1195,PE13
Rv1196,PPE18
Rv1197,esxK
Rv1198,esxL
Rv1199c,Rv1199c
Rv1200,Rv1200
Rv1201c,dapD
Rv1202,dapE
Rv1203c,Rv1203c
Rv1204c,Rv1204c
Rv1205,Rv1205
Rv1206,fadD6
Rv1207,folP2
Rv1208,gpgS
Rv1209,Rv1209
Rv1210,tagA
Rv1211,Rv1211
Rv1212c,glgA
Rv1213,glgC
Rv1214c,PE14
Rv1215c,Rv1215c
Rv1216c,Rv1216c
Rv1217c,Rv1217c
Rv1218c,Rv1218c
Rv1219c,Rv1219c
Rv1220c,Rv1220c
Rv1221,sigE
Rv1222,rseA
Rv1223,htrA
Rv1224,tatB
Rv1225c,Rv1225c
Rv1226c,Rv1226c
Rv1227c,Rv1227c
Rv1228,lpqX
Rv1228a,Rv1228a
Rv1229c,mrp
Rv1230c,Rv1230c
Rv1231c,Rv1231c
Rv1232c,Rv1232c
Rv1233c,Rv1233c
Rv1234,Rv1234
Rv1235,lpqY
Rv1236,sugA
Rv1237,sugB
Rv1238,sugC
Rv1239c,corA
Rv1240,mdh
Rv1241,vapB33
Rv1242,vapC33
Rv1243c,PE_PGRS23
Rv1244,lpqZ
Rv1245c,Rv1245c
Rv1246c,relE
Rv1247c,relB
Rv1248c,Rv1248c
Rv1249c,Rv1249c
Rv1250,Rv1250
Rv1251c,Rv1251c
Rv1252c,lprE
Rv1253,deaD
Rv1254,Rv1254
Rv1255c,Rv1255c
Rv1256c,cyp130
Rv1257c,Rv1257c
Rv1258c,Rv1258c
Rv1259,udgB
Rv1260,Rv1260
Rv1261c,Rv1261c
Rv1262c,Rv1262c
Rv1263,amiB2
Rv1264,Rv1264
RVnc0013,mcr11
Rv1265,Rv1265
Rv1266c,pknH
Rv1267c,embR
Rv1268c,Rv1268c
Rv1269c,Rv1269c
Rv1270c,lprA
Rv1271c,Rv1271c
Rv1272c,Rv1272c
Rv1273c,Rv1273c
Rv1274,lprB
Rv1275,lprC
Rv1276c,Rv1276c
Rv1277,Rv1277
Rv1278,Rv1278
Rv1279,Rv1279
Rv1280c,oppA
Rv1281c,oppD
Rv1282c,oppC
Rv1283c,oppB
Rv1284,canA
Rv1285,cysD
Rv1286,Rv1286
Rv1287,Rv1287
Rv1288,Rv1288
Rv1289,Rv1289
Rv1290c,Rv1290c
Rv1290A,Rv1290A
Rv1291c,Rv1291c
Rvnt18,argV
Rv1292,argS
Rv1293,lysA
Rv1294,thrA
Rv1295,thrC
Rv1296,thrB
Rv1297,rho
Rv1298,rpmE
Rv1299,prfA
Rv1300,hemK
Rv1301,Rv1301
Rv1302,rfe
Rv1303,Rv1303
Rv1304,atpB
Rv1305,atpE
Rv1306,atpF
Rv1307,atpH
Rv1308,atpA
Rv1309,atpG
Rv1310,atpD
Rv1311,atpC
Rv1312,Rv1312
Rv1313c,Rv1313c
Rv1314c,Rv1314c
Rv1315,murA
RVnc0021,mcr3
Rvnr01,rrs
Rvnr02,rrl
Rvnr03,rrf
Rv1316c,ogt
Rv1317c,alkA
Rv1318c,Rv1318c
Rv1319c,Rv1319c
Rv1320c,Rv1320c
Rv1321,Rv1321
Rv1322,Rv1322
Rv1322A,Rv1322A
Rv1323,fadA4
Rv1324,Rv1324
Rv1325c,PE_PGRS24
Rv1326c,glgB
Rv1327c,glgE
Rv1328,glgP
Rv1329c,dinG
Rv1330c,pncB1
Rv1331,Rv1331
Rv1332,Rv1332
Rv1333,Rv1333
Rv1334,mec
Rv1335,cysO
Rv1336,cysM
Rv1337,Rv1337
Rv1338,murI
Rv1339,Rv1339
Rv1340,rphA
Rv1341,Rv1341
Rv1342c,Rv1342c
Rv1343c,lprD
Rv1344,mbtL
Rv1345,mbtM
Rv1346,mbtN
Rv1347c,mbtK
Rvnt19,leuW
Rv1348,irtA
Rv1349,irtB
Rv1350,fabG2
Rv1351,Rv1351
Rv1352,Rv1352
Rv1353c,Rv1353c
Rv1354c,Rv1354c
Rv1355c,moeY
Rv1356c,Rv1356c
Rv1357c,Rv1357c
Rv1358,Rv1358
Rv1359,Rv1359
Rv1360,Rv1360
Rv1361c,PPE19
Rv1362c,Rv1362c
Rv1363c,Rv1363c
RVnc0015,mcr15
Rv1364c,Rv1364c
Rv1365c,rsfA
Rv1366,Rv1366
Rv1366A,Rv1366A
Rv1367c,Rv1367c
Rv1368,lprF
Rv1371,Rv1371
Rv1372,Rv1372
Rv1373,Rv1373
Rv1374c,Rv1374c
RVnc0035,MTS1082
Rv1375,Rv1375
Rv1376,Rv1376
Rv1377c,Rv1377c
Rv1378c,Rv1378c
Rv1379,pyrR
Rv1380,pyrB
Rv1381,pyrC
Rv1382,Rv1382
Rv1383,carA
Rv1384,carB
Rv1385,pyrF
Rv1386,PE15
Rv1387,PPE20
Rv1388,mihF
Rv1389,gmk
Rv1390,rpoZ
Rv1391,dfp
Rv1392,metK
Rv1393c,Rv1393c
Rv1394c,cyp132
Rv1395,Rv1395
Rv1396c,PE_PGRS25
Rv1397c,vapC10
Rv1398c,vapB10
Rv1399c,nlhH
Rv1400c,lipI
Rv1401,Rv1401
Rv1402,priA
Rv1403c,Rv1403c
Rv1404,Rv1404
Rv1405c,Rv1405c
Rv1406,fmt
Rv1407,fmu
Rv1408,rpe
Rv1409,ribG
Rv1410c,Rv1410c
Rv1411c,lprG
Rv1412,ribC
Rv1413,Rv1413
Rv1414,Rv1414
Rv1415,ribA2
Rv1416,ribH
Rv1417,Rv1417
Rv1418,lprH
Rv1419,Rv1419
Rv1420,uvrC
Rv1421,Rv1421
Rv1422,Rv1422
Rv1423,whiA
Rv1424c,Rv1424c
Rv1425,Rv1425
Rv1426c,lipO
Rv1427c,fadD12
Rv1428c,Rv1428c
Rv1429,Rv1429
Rv1430,PE16
Rv1431,Rv1431
Rv1432,Rv1432
Rv1433,Rv1433
Rv1434,Rv1434
Rv1435c,Rv1435c
Rv1436,gap
Rv1437,pgk
Rv1438,tpi
Rv1439c,Rv1439c
Rv1440,secG
Rv1441c,PE_PGRS26
Rv1442,bisC
Rv1443c,Rv1443c
Rv1444c,Rv1444c
Rv1445c,devB
Rv1446c,opcA
Rv1447c,zwf2
Rv1448c,tal
Rv1449c,tkt
Rv1450c,PE_PGRS27
Rv1451,Rv1451
Rv1452c,PE_PGRS28
Rv1453,Rv1453
Rv1454c,qor
Rv1455,Rv1455
Rv1456c,Rv1456c
Rv1457c,Rv1457c
Rv1458c,Rv1458c
Rv1459c,Rv1459c
Rv1460,Rv1460
Rv1461,Rv1461
Rv1462,Rv1462
Rv1463,Rv1463
Rv1464,csd
Rv1465,Rv1465
Rv1466,Rv1466
Rv1467c,fadE15
Rv1468c,PE_PGRS29
Rv1469,ctpD
Rv1470,trxA
Rv1471,trxB1
Rv1472,echA12
Rv1473,Rv1473
Rv1473A,Rv1473A
Rv1474c,Rv1474c
Rv1475c,acn
Rv1476,Rv1476
Rv1477,ripA
Rv1478,Rv1478
Rv1479,moxR1
Rv1480,Rv1480
Rv1481,Rv1481
Rv1482c,Rv1482c
Rv1483,fabG1
Rv1484,inhA
Rv1485,hemZ
Rv1486c,Rv1486c
Rv1487,Rv1487
Rv1488,Rv1488
Rv1489,Rv1489
Rv1489A,Rv1489A
Rv1490,Rv1490
Rv1491c,Rv1491c
Rv1492,mutA
Rv1493,mutB
Rv1494,mazE4
Rv1495,mazF4
Rv1496,Rv1496
Rv1497,lipL
Rv1498c,Rv1498c
Rv1498A,Rv1498A
Rv1499,Rv1499
Rv1500,Rv1500
Rv1501,Rv1501
Rv1502,Rv1502
Rv1503c,Rv1503c
Rv1505c,Rv1505c
Rv1506c,Rv1506c
Rv1507c,Rv1507c
Rv1507A,Rv1507A
Rv1508c,Rv1508c
Rv1508A,Rv1508A
Rv1509,Rv1509
Rv1510,Rv1510
Rv1511,gmdA
Rv1512,epiA
Rv1513,Rv1513
Rv1514c,Rv1514c
Rv1515c,Rv1515c
Rv1516c,Rv1516c
Rv1517,Rv1517
Rv1518,Rv1518
Rv1519,Rv1519
Rv1520,Rv1520
Rv1521,fadD25
Rv1522c,mmpL12
Rv1523,Rv1523
Rv1524,Rv1524
Rv1525,wbbL2
Rv1526c,Rv1526c
Rv1527c,pks5
Rv1528c,papA4
Rv1529,fadD24
Rv1530,adh
Rv1531,Rv1531
Rv1532c,Rv1532c
Rv1533,Rv1533
Rv1534,Rv1534
Rv1535,Rv1535
Rv1536,ileS
Rv1537,dinX
Rv1538c,ansA
Rv1539,lspA
Rv1540,Rv1540
Rv1541c,lprI
Rv1542c,glbN
Rv1543,Rv1543
Rv1544,Rv1544
Rv1545,Rv1545
Rv1546,Rv1546
Rv1547,dnaE1
Rv1548c,PPE21
Rv1550,fadD11
Rv1551,plsB1
Rv1552,frdA
Rv1553,frdB
Rv1554,frdC
Rv1555,frdD
Rv1556,Rv1556
Rv1557,mmpL6
Rv1558,Rv1558
Rv1559,ilvA
Rv1560,vapB11
Rv1561,vapC11
Rv1562c,treZ
Rv1563c,treY
Rv1564c,treX
Rv1565c,Rv1565c
Rv1566c,Rv1566c
Rv1567c,Rv1567c
Rv1568,bioA
Rv1569,bioF1
Rv1570,bioD
Rv1571,Rv1571
Rv1573,Rv1573
Rv1574,Rv1574
Rv1575,Rv1575
Rv1576c,Rv1576c
Rv1577c,Rv1577c
Rv1578c,Rv1578c
Rv1579c,Rv1579c
Rv1580c,Rv1580c
Rv1581c,Rv1581c
Rv1582c,Rv1582c
Rv1583c,Rv1583c
Rv1584c,Rv1584c
Rv1585c,Rv1585c
Rv1586c,Rv1586c
Rv1587c,Rv1587c
Rv1588c,Rv1588c
Rv1589,bioB
Rv1590,Rv1590
Rv1591,Rv1591
Rv1592c,Rv1592c
Rv1593c,Rv1593c
Rv1594,nadA
Rv1595,nadB
Rv1596,nadC
Rv1597,Rv1597
Rv1598c,Rv1598c
Rv1599,hisD
Rv1600,hisC1
Rv1601,hisB
Rv1602,hisH
Rv1603,hisA
Rv1604,impA
Rv1605,hisF
Rv1606,hisI
Rv1607,chaA
Rv1608c,bcpB
Rv1609,trpE
Rv1610,Rv1610
Rv1611,trpC
Rv1612,trpB
Rv1613,trpA
Rv1614,lgt
Rv1615,Rv1615
Rv1616,Rv1616
Rv1617,pykA
Rv1618,tesB1
Rv1619,Rv1619
Rv1620c,cydC
Rv1621c,cydD
Rv1622c,cydB
Rv1623c,cydA
Rv1624c,Rv1624c
Rv1625c,cya
Rvnt20,leuV
Rv1626,Rv1626
Rv1627c,Rv1627c
Rv1628c,Rv1628c
Rv1629,polA
Rv1630,rpsA
Rv1631,coaE
Rv1632c,Rv1632c
Rv1633,uvrB
Rv1634,Rv1634
Rv1635c,Rv1635c
Rv1636,TB15.3
Rv1637c,Rv1637c
Rv1638,uvrA
Rv1638A,Rv1638A
Rv1639c,Rv1639c
Rv1640c,lysX
Rv1641,infC
Rv1642,rpmI
Rv1643,rplT
Rv1644,tsnR
Rv1645c,Rv1645c
Rv1646,PE17
Rv1647,Rv1647
Rv1648,Rv1648
Rv1649,pheS
Rv1650,pheT
Rv1651c,PE_PGRS30
Rv1652,argC
Rv1653,argJ
Rv1654,argB
Rv1655,argD
Rv1656,argF
Rv1657,argR
Rv1658,argG
Rv1659,argH
Rv1660,pks10
Rv1661,pks7
Rv1662,pks8
Rv1663,pks17
Rv1664,pks9
Rv1665,pks11
Rv1666c,cyp139
Rv1667c,Rv1667c
Rv1669,Rv1669
Rv1670,Rv1670
Rv1671,Rv1671
Rv1672c,Rv1672c
Rv1673c,Rv1673c
Rv1674c,Rv1674c
Rv1675c,cmr
Rv1676,Rv1676
Rv1677,dsbF
Rv1678,Rv1678
Rv1679,fadE16
Rv1680,Rv1680
Rv1681,moeX
Rv1682,Rv1682
Rv1683,Rv1683
Rv1684,Rv1684
Rv1685c,Rv1685c
Rv1686c,Rv1686c
Rv1687c,Rv1687c
Rv1688,mpg
Rv1689,tyrS
RVnc0010,G2
Rv1690,lprJ
Rv1691,Rv1691
Rv1692,Rv1692
Rv1693,Rv1693
Rv1694,tlyA
Rv1695,ppnK
Rv1696,recN
Rv1697,Rv1697
Rv1698,mctB
Rv1699,pyrG
Rv1700,Rv1700
Rv1701,Rv1701
Rv1702c,Rv1702c
Rv1703c,Rv1703c
Rv1704c,cycA
Rv1705c,PPE22
Rv1706c,PPE23
Rv1706A,Rv1706A
Rv1707,Rv1707
Rv1708,Rv1708
Rv1709,scpA
Rv1710,scpB
Rv1711,Rv1711
Rv1712,cmk
Rv1713,engA
Rv1714,Rv1714
Rv1715,fadB3
Rv1716,Rv1716
Rv1717,Rv1717
Rv1718,Rv1718
Rv1719,Rv1719
Rvnt21,proT
Rv1720c,vapC12
Rv1721c,vapB12
Rv1722,Rv1722
Rv1723,Rv1723
Rv1724c,Rv1724c
Rv1725c,Rv1725c
Rv1726,Rv1726
RVnc0047,AS1726
Rv1727,Rv1727
Rv1728c,Rv1728c
Rv1729c,Rv1729c
Rv1730c,Rv1730c
Rv1731,gabD2
Rv1732c,Rv1732c
Rv1733c,Rv1733c
RVnc0036,MTS1338
Rv1734c,Rv1734c
Rv1735c,Rv1735c
Rv1735a,Rv1735a
Rv1736c,narX
Rv1737c,narK2
Rv1738,Rv1738
Rv1739c,Rv1739c
Rv1740,vapB34
Rv1741,vapC34
Rv1742,Rv1742
Rv1743,pknE
Rv1744c,Rv1744c
Rv1745c,idi
Rv1746,pknF
Rv1747,Rv1747
Rv1748,Rv1748
Rv1749c,Rv1749c
Rv1750c,fadD1
Rv1751,Rv1751
Rv1752,Rv1752
Rv1753c,PPE24
Rv1754c,Rv1754c
Rv1758,cut1
Rv1759c,wag22
Rv1760,Rv1760
Rv1761c,Rv1761c
Rv1762c,Rv1762c
Rv1765c,Rv1765c
Rv1766,Rv1766
Rv1767,Rv1767
Rv1768,PE_PGRS31
Rv1769,Rv1769
Rv1770,Rv1770
Rv1771,Rv1771
Rv1772,Rv1772
Rv1773c,Rv1773c
Rv1774,Rv1774
Rv1775,Rv1775
Rv1776c,Rv1776c
Rv1777,cyp144
Rv1778c,Rv1778c
Rv1779c,Rv1779c
Rv1780,Rv1780
Rv1781c,malQ
Rv1782,eccB5
Rv1783,eccC5
Rv1785c,cyp143
Rv1786,Rv1786
Rv1787,PPE25
Rv1788,PE18
Rv1789,PPE26
Rv1790,PPE27
Rv1791,PE19
Rv1792,esxM
Rv1793,esxN
Rv1794,Rv1794
Rv1795,eccD5
Rv1796,mycP5
Rv1797,eccE5
Rv1798,eccA5
Rv1799,lppT
Rv1800,PPE28
Rv1801,PPE29
Rv1802,PPE30
Rv1803c,PE_PGRS32
Rv1804c,Rv1804c
Rv1805c,Rv1805c
Rv1806,PE20
Rv1808,PPE32
Rv1809,PPE33
Rv1810,Rv1810
Rv1811,mgtC
Rv1812c,Rv1812c
Rv1813c,Rv1813c
Rv1814,erg3
Rv1815,Rv1815
Rv1816,Rv1816
Rv1817,Rv1817
Rv1818c,PE_PGRS33
Rv1819c,bacA
Rv1820,ilvG
Rv1821,secA2
Rv1822,pgsA2
Rv1823,Rv1823
Rv1824,Rv1824
Rv1825,Rv1825
Rv1826,gcvH
Rv1827,garA
Rv1828,Rv1828
Rv1829,Rv1829
Rv1830,Rv1830
Rv1831,Rv1831
Rv1832,gcvB
Rv1833c,Rv1833c
Rv1834,lipZ
Rv1835c,Rv1835c
Rv1836c,Rv1836c
Rv1837c,glcB
Rv1838c,vapC13
Rv1839c,vapB13
Rv1840c,PE_PGRS34
Rv1841c,Rv1841c
Rv1842c,Rv1842c
Rv1843c,guaB1
Rv1844c,gnd1
Rv1845c,blaR
Rv1846c,blaI
Rv1847,Rv1847
Rv1848,ureA
Rv1849,ureB
Rv1850,ureC
Rv1851,ureF
Rv1852,ureG
Rv1853,ureD
Rv1854c,ndh
Rv1855c,Rv1855c
Rv1856c,Rv1856c
Rv1857,modA
Rv1858,modB
Rv1859,modC
Rv1860,apa
Rv1861,Rv1861
Rv1862,adhA
Rv1863c,Rv1863c
Rv1864c,Rv1864c
Rv1865c,Rv1865c
Rv1866,Rv1866
Rv1867,Rv1867
Rv1868,Rv1868
Rv1869c,Rv1869c
Rv1870c,Rv1870c
Rv1871c,Rv1871c
Rv1872c,lldD2
Rv1873,Rv1873
Rv1874,Rv1874
Rv1875,Rv1875
Rv1876,bfrA
Rv1877,Rv1877
Rv1878,glnA3
Rv1879,Rv1879
Rv1880c,cyp140
Rv1881c,lppE
Rv1882c,Rv1882c
Rv1883c,Rv1883c
Rv1884c,rpfC
Rv1885c,Rv1885c
Rv1886c,fbpB
Rv1887,Rv1887
Rv1887a,Rv1887a
Rv1888A,Rv1888A
Rv1890c,Rv1890c
RVnc0001,AS1890
Rv1891,Rv1891
Rv1892,Rv1892
Rv1893,Rv1893
Rv1894c,Rv1894c
Rv1895,Rv1895
Rv1896c,Rv1896c
Rv1897c,Rv1897c
Rv1898,Rv1898
Rv1899c,lppD
Rv1900c,lipJ
Rv1901,cinA
Rv1902c,nanT
Rv1903,Rv1903
Rv1904,Rv1904
Rv1905c,aao
Rv1906c,Rv1906c
Rv1907c,Rv1907c
Rv1908c,katG
Rv1909c,furA
Rv1910c,Rv1910c
Rv1911c,lppC
Rv1912c,fadB5
Rv1913,Rv1913
Rv1914c,Rv1914c
Rv1915,aceAa
Rv1916,aceAb
Rv1917c,PPE34
Rv1918c,PPE35
Rv1919c,Rv1919c
Rv1920,Rv1920
Rv1921c,lppF
Rv1922,Rv1922
Rv1923,lipD
Rv1924c,Rv1924c
Rv1925,fadD31
Rv1926c,mpt63
Rv1927,Rv1927
Rv1928c,Rv1928c
Rv1929c,Rv1929c
Rv1930c,Rv1930c
Rv1931c,Rv1931c
Rv1932,tpx
Rv1933c,fadE18
Rv1934c,fadE17
Rv1935c,echA13
Rv1936,Rv1936
Rv1937,Rv1937
Rv1938,ephB
Rv1939,Rv1939
Rv1940,ribA1
Rv1941,Rv1941
Rv1942c,mazF5
Rv1943c,mazE5
Rv1944c,Rv1944c
Rv1945,Rv1945
Rv1946c,lppG
Rv1947,Rv1947
Rv1948c,Rv1948c
Rv1950c,Rv1950c
Rv1951c,Rv1951c
Rv1952,vapB14
Rv1953,vapC14
Rv1954c,Rv1954c
Rv1955,higB
Rv1956,higA
Rv1957,Rv1957
Rv1958c,Rv1958c
Rv1959c,parE1
Rv1960c,parD1
Rv1961,Rv1961
Rv1962c,vapC35
Rv1962A,vapB35
Rv1963c,mce3R
Rv1964,yrbE3A
Rv1965,yrbE3B
Rv1966,mce3A
Rv1967,mce3B
Rv1968,mce3C
Rv1969,mce3D
Rv1970,lprM
Rv1971,mce3F
Rv1972,Rv1972
Rv1973,Rv1973
Rv1974,Rv1974
Rv1975,Rv1975
Rv1976c,Rv1976c
Rv1977,Rv1977
Rv1978,Rv1978
Rv1979c,Rv1979c
